variant,accuracy,avg_inference_us,train_ms,notes
Full Pipeline (Ours),0.866667,0.152767,0.76,SRR+Outlier+HalfPlane
Without SRR Grid,0.866667,0.209733,0,No O(1) grid hint
Without Outlier Removal,0.866667,0.130567,0.595,No Phase 1 cleanup
Nearest Vertex Only (1-NN),0.866667,0.469467,0,No half-plane boundary
2D Buckets Classification,0.933333,0.00833333,0,O(1) bucket-based path
Outlier multiplier=1.50,0.833333,0,0,112 vertices
Outlier multiplier=2.00,0.833333,0,0,114 vertices
Outlier multiplier=3.00,0.866667,0,0,117 vertices
Outlier multiplier=5.00,0.866667,0,0,118 vertices
Outlier multiplier=10.0,0.866667,0,0,118 vertices
