variant,accuracy,avg_inference_us,train_ms,notes
Full Pipeline (Ours),1,0.0025,4.027,SRR+Outlier+HalfPlane
Without SRR Grid,1,0.23375,0,No O(1) grid hint
Without Outlier Removal,1,0.003125,31.772,No Phase 1 cleanup
Nearest Vertex Only (1-NN),1,0.63583,0,No half-plane boundary
2D Buckets Classification,1,0.003125,0,O(1) bucket-based path
Outlier multiplier=1.50,1,0,0,773 vertices
Outlier multiplier=2.00,1,0,0,786 vertices
Outlier multiplier=3.00,1,0,0,799 vertices
Outlier multiplier=5.00,1,0,0,800 vertices
Outlier multiplier=10.0,1,0,0,800 vertices
