dataset,variant,accuracy_mean,accuracy_std,inference_us_mean,inference_us_std,train_ms_mean,train_ms_std,n_seeds,notes
moons,Full Pipeline (Ours),0.999,0.002236067977499792,0.004167,0.0024735061148095025,4.8192,2.149779337513504,5,2D Buckets + Outlier + HalfPlane
moons,Without 2D Buckets Grid,0.999,0.002236067977499792,0.21037599999999998,0.010504633739450415,0.0,0.0,5,DT locate walk (no O(1) grid)
moons,Without Outlier Removal,0.999,0.002236067977499792,0.0022510000000000004,0.00039978744352468104,3.0932,0.0535042054421892,5,No Phase 1 cleanup
moons,Nearest Vertex Only (1-NN),0.999,0.002236067977499792,0.5243340000000001,0.009635991386463557,0.0,0.0,5,No half-plane boundary
moons,Outlier multiplier=1.50,0.998,0.002738612787525833,0.0,0.0,0.0,0.0,5,773 vertices
moons,Outlier multiplier=2.00,0.998,0.002738612787525833,0.0,0.0,0.0,0.0,5,786 vertices
moons,Outlier multiplier=3.00,0.999,0.002236067977499792,0.0,0.0,0.0,0.0,5,799 vertices
moons,Outlier multiplier=5.00,0.999,0.002236067977499792,0.0,0.0,0.0,0.0,5,800 vertices
moons,Outlier multiplier=10.0,0.999,0.002236067977499792,0.0,0.0,0.0,0.0,5,800 vertices
circles,Full Pipeline (Ours),1.0,0.0,0.002583,0.00023878860944358293,3.8704,0.08198048548282696,5,2D Buckets + Outlier + HalfPlane
circles,Without 2D Buckets Grid,1.0,0.0,0.193126,0.01734753527161712,0.0,0.0,5,DT locate walk (no O(1) grid)
circles,Without Outlier Removal,1.0,0.0,0.002084,0.0002087582333705668,3.1094,0.05931525941947821,5,No Phase 1 cleanup
circles,Nearest Vertex Only (1-NN),1.0,0.0,0.5065419999999999,0.011545837236857278,0.0,0.0,5,No half-plane boundary
circles,Outlier multiplier=1.50,1.0,0.0,0.0,0.0,0.0,0.0,5,788 vertices
circles,Outlier multiplier=2.00,1.0,0.0,0.0,0.0,0.0,0.0,5,799 vertices
circles,Outlier multiplier=3.00,1.0,0.0,0.0,0.0,0.0,0.0,5,800 vertices
circles,Outlier multiplier=5.00,1.0,0.0,0.0,0.0,0.0,0.0,5,800 vertices
circles,Outlier multiplier=10.0,1.0,0.0,0.0,0.0,0.0,0.0,5,800 vertices
spiral,Full Pipeline (Ours),0.978,0.01604680653588123,0.0028739999999999994,0.00027400729917285044,4.0154,0.05460128203623064,5,2D Buckets + Outlier + HalfPlane
spiral,Without 2D Buckets Grid,0.986,0.011937336386313334,0.231373,0.02197662354639585,0.0,0.0,5,DT locate walk (no O(1) grid)
spiral,Without Outlier Removal,0.978,0.01604680653588123,0.0020410000000000003,0.00017361595548796776,3.2811999999999997,0.05637996097905699,5,No Phase 1 cleanup
spiral,Nearest Vertex Only (1-NN),0.9879999999999999,0.011510864433221349,0.531083,0.026429010007943933,0.0,0.0,5,No half-plane boundary
spiral,Outlier multiplier=1.50,0.9809999999999999,0.012449899597988744,0.0,0.0,0.0,0.0,5,787 vertices
spiral,Outlier multiplier=2.00,0.978,0.01604680653588123,0.0,0.0,0.0,0.0,5,796 vertices
spiral,Outlier multiplier=3.00,0.978,0.01604680653588123,0.0,0.0,0.0,0.0,5,796 vertices
spiral,Outlier multiplier=5.00,0.978,0.01604680653588123,0.0,0.0,0.0,0.0,5,796 vertices
spiral,Outlier multiplier=10.0,0.978,0.01604680653588123,0.0,0.0,0.0,0.0,5,796 vertices
gaussian_quantiles,Full Pipeline (Ours),0.952,0.020186629238186315,0.0027089999999999996,0.0002572061430059554,3.6060000000000003,0.04392607426119485,5,2D Buckets + Outlier + HalfPlane
gaussian_quantiles,Without 2D Buckets Grid,0.974,0.01557241150239745,0.20837599999999998,0.010215842720989786,0.0,0.0,5,DT locate walk (no O(1) grid)
gaussian_quantiles,Without Outlier Removal,0.952,0.014404860290887913,0.002125,0.00017331330012437015,2.9286000000000003,0.035732338294603705,5,No Phase 1 cleanup
gaussian_quantiles,Nearest Vertex Only (1-NN),0.967,0.013509256086106309,0.516376,0.013026037098826316,0.0,0.0,5,No half-plane boundary
gaussian_quantiles,Outlier multiplier=1.50,0.953,0.0156524758424985,0.0,0.0,0.0,0.0,5,728 vertices
gaussian_quantiles,Outlier multiplier=2.00,0.9570000000000001,0.009082951062292483,0.0,0.0,0.0,0.0,5,756 vertices
gaussian_quantiles,Outlier multiplier=3.00,0.952,0.020186629238186315,0.0,0.0,0.0,0.0,5,784 vertices
