dataset,algorithm,mean_acc,std_acc,ci_acc,mean_time_us,std_time_us,n_seeds
moons,KNN (CV-tuned k),0.999,0.002236067977499792,0.001960000000000002,4.459206014871597,1.637929622560879,5
moons,"SVM (RBF, CV-tuned)",0.999,0.002236067977499792,0.001960000000000002,6.136124953627586,3.957665218056722,5
moons,Decision Tree,0.9879999999999999,0.009082951062292483,0.007961557636543248,0.3335841465741396,0.1850155377425557,5
moons,Random Forest,0.9960000000000001,0.0022360679774997916,0.0019600000000000017,62.715874053537846,4.180917998873504,5
moons,Delaunay (Ours),0.999,0.002236067977499792,0.001960000000000002,0.0040999999999999995,0.0022360679774997894,5
circles,KNN (CV-tuned k),1.0,0.0,0.0,3.3311648294329643,0.6257512691655188,5
circles,"SVM (RBF, CV-tuned)",1.0,0.0,0.0,6.064415909349918,0.2199652218902347,5
circles,Decision Tree,0.994,0.006519202405202654,0.0057143328569483984,0.228542136028409,0.008408921716889194,5
circles,Random Forest,0.9970000000000001,0.002738612787525833,0.0024004999479275164,60.10412587784231,5.530091852126104,5
circles,Delaunay (Ours),1.0,0.0,0.0,0.007840000000000001,0.010264891621444429,5
spiral,KNN (CV-tuned k),0.9869999999999999,0.013509256086106309,0.01184138505412269,3.3619164023548365,0.18429706786834815,5
spiral,"SVM (RBF, CV-tuned)",0.9890000000000001,0.011401754250991391,0.009994078246641868,8.787750964984298,3.8630527513296804,5
spiral,Decision Tree,0.9650000000000001,0.006123724356957951,0.005367681063550633,0.2747499383985996,0.01767208341031017,5
spiral,Random Forest,0.978,0.009082951062292483,0.007961557636543248,63.11291689053178,5.290525851580976,5
spiral,Delaunay (Ours),0.978,0.01604680653588123,0.01406564609251919,0.00324,0.0005458937625582472,5
gaussian_quantiles,KNN (CV-tuned k),0.9649999999999999,0.011726039399558585,0.010278326712067493,3.290915861725807,0.2988882754420299,5
gaussian_quantiles,"SVM (RBF, CV-tuned)",0.982,0.011510864433221349,0.01008971753816727,1.858999254181981,0.7447727078257659,5
gaussian_quantiles,Decision Tree,0.958,0.029706901555025877,0.026039247300949368,0.2510407939553261,0.0031718048878180975,5
gaussian_quantiles,Random Forest,0.961,0.03524911346402912,0.0308972102300515,61.93916592746973,4.095820775032103,5
gaussian_quantiles,Delaunay (Ours),0.952,0.020186629238186315,0.0176943606835624,0.00566,0.004701382775311962,5
cassini,KNN (CV-tuned k),1.0,0.0,0.0,2.4809719373782473,0.1295785996276943,5
cassini,"SVM (RBF, CV-tuned)",1.0,0.0,0.0,7.800249538073937,8.440365784182603,5
cassini,Decision Tree,0.9986666666666666,0.001825741858350535,0.0016003332986183267,0.18855681022008258,0.025556132414271987,5
cassini,Random Forest,0.9993333333333332,0.0014907119849998445,0.001306666666666653,44.06150026867787,1.3355070220504859,5
cassini,Delaunay (Ours),1.0,0.0,0.0,0.00274,0.0003130495168499707,5
checkerboard,KNN (CV-tuned k),0.968,0.016807736313971627,0.014732630450805462,3.678792854771018,0.6506465018958146,5
checkerboard,"SVM (RBF, CV-tuned)",0.9810000000000001,0.00961769203083568,0.00843027876170178,2.975541166961193,1.167367813333408,5
