operation,time_ns
insert,1125
insert,333
insert,708
insert,334
insert,542
insert,917
insert,667
insert,208
insert,584
insert,584
insert,500
insert,500
insert,417
insert,292
insert,583
insert,416
insert,458
insert,333
insert,625
insert,292
insert,584
insert,666
insert,750
insert,583
insert,334
insert,583
insert,625
insert,375
insert,625
insert,500
insert,625
insert,666
insert,542
insert,500
insert,458
insert,500
insert,750
insert,625
insert,542
insert,334
insert,500
insert,667
insert,583
insert,542
insert,667
insert,417
insert,375
insert,416
insert,541
insert,416
insert,458
insert,542
insert,333
insert,541
insert,500
insert,333
insert,250
insert,500
insert,459
insert,292
insert,292
insert,500
insert,542
insert,250
insert,375
insert,709
insert,375
insert,417
insert,875
insert,292
insert,417
insert,333
insert,416
insert,458
insert,250
insert,709
insert,625
insert,500
insert,459
insert,542
insert,667
insert,792
insert,375
insert,250
insert,291
insert,417
insert,667
insert,500
insert,416
insert,666
insert,500
insert,625
insert,583
insert,458
insert,458
insert,584
insert,500
insert,459
insert,458
insert,500
insert,458
insert,708
insert,500
insert,375
insert,333
insert,334
insert,416
insert,458
insert,542
insert,375
insert,375
insert,541
insert,416
insert,583
insert,500
insert,250
insert,375
insert,583
insert,500
insert,541
insert,375
insert,667
insert,875
insert,584
insert,833
insert,458
insert,250
insert,500
insert,625
insert,625
insert,708
insert,584
insert,625
insert,625
insert,333
insert,417
insert,458
insert,458
insert,625
insert,1833
insert,416
insert,666
insert,375
insert,250
insert,333
insert,292
insert,959
insert,417
insert,583
insert,541
insert,750
insert,542
insert,542
insert,417
insert,667
insert,792
insert,333
insert,583
insert,250
insert,625
insert,708
insert,416
insert,500
insert,250
insert,333
insert,500
insert,375
insert,833
insert,500
insert,458
insert,792
insert,292
insert,416
insert,416
insert,583
insert,417
insert,334
insert,458
insert,458
insert,667
insert,334
insert,791
insert,583
insert,417
insert,583
insert,500
insert,541
insert,541
insert,458
insert,625
insert,333
insert,667
insert,417
insert,375
insert,583
insert,583
insert,375
insert,291
insert,375
insert,667
insert,625
insert,542
insert,584
insert,333
insert,208
insert,542
insert,500
insert,500
insert,250
insert,208
insert,750
insert,500
insert,667
insert,708
insert,334
